spkid,full_name,pdes,neo,pha,H,Mass,G,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,condition_code,rms,two_body,A1,A1_sigma,A2,A2_sigma,A3,A3_sigma,DT,DT_sigma
3311964,       (2006 AM4),2006 AM4,Y,Y,21.8,0,,,,,0.0847,,,,,,,,,50,2025-11-21.0,J2000,0.6493,0.9822,0.344,4.16,123.31,139.68,61.89,1.62,1.013,2460939.37,2025-09-20.8,356,0.973,0.0111,4.32,3.47,5.96,8.90E-08,1.60E-07,1.10E-07,1.60E-05,3.10E-05,3.50E-05,4.20E-04,2.70E-07,2.50E-07,4.00E-04,8.80E-05,ATE,1,0.49023,,,,,,,,,
3312034,       (2006 AL8),2006 AL8,Y,Y,18.41,0,,,,,,,,,,,,,,32,2025-11-21.0,J2000,0.8877,3.333,0.374,35.85,311.9,65.96,101.88,6.29,0.162,2460371.53,2024-03-02.0,2.22E+03,6.08,0.0499,19.4,2.47,2.16,1.10E-07,2.50E-08,3.60E-07,5.00E-05,8.90E-06,3.90E-05,9.30E-06,4.70E-08,1.80E-09,5.10E-05,2.50E-05,APO,0,0.43351,,,,,,,,,
3313976,       (2006 BX39),2006 BX39,Y,Y,21.4,0,,,,,,,,,,,,,,JPL 21,2006-02-02.0,J2000,0.6375,1.903,0.69,14.35,140.43,79.12,339.81,3.12,0.3753,2453822.29,2006-03-27.7,959,2.63,0.00878,3.42,2.06,3.64,7.80E-04,3.60E-03,1.80E-04,1.40E-02,1.20E-03,6.40E-03,6.60E-02,5.90E-03,1.10E-03,2.40E-02,2.70E+00,APO,8,0.51284,,,,,,,,,
3314045,       (2006 BE55),2006 BE55,Y,Y,21.98,0,,,,,5.61,,,,,,,,,48,2025-11-21.0,J2000,0.4244,1.195,0.688,2.4,125.25,126.47,346.97,1.7,0.7545,2461017.77,2025-12-08.2,477,1.31,0.0237,9.22,3.34,5.22,1.20E-07,2.40E-08,1.60E-07,5.80E-06,9.20E-05,9.10E-05,2.20E-05,3.30E-08,2.20E-08,3.00E-05,1.40E-05,APO,0,0.38056,,,,-8.30E-14,3.90E-14,,,,
3315647,       (2006 CF),2006 CF,Y,Y,20.3,0,,,,,,,,,,,,,,33,2025-11-21.0,J2000,0.679,2.295,0.737,4.66,111.8,268.91,288.18,3.85,0.2835,2461253.83,2026-08-01.3,1.27E+03,3.48,0.0247,9.63,1.63,3.24,4.80E-08,1.10E-07,1.40E-07,2.20E-05,5.80E-05,6.20E-05,4.40E-05,1.80E-07,2.00E-08,1.70E-04,8.80E-05,APO,0,0.36092,,,,,,,,,
3321493,       (2006 CU),2006 CU,Y,Y,21.9,0,,,,,,,,,,,,,,23,2025-11-21.0,J2000,0.4538,1.51,0.825,3.8,148.7,253.26,280.45,2.2,0.531,2461150.3,2026-04-19.8,678,1.86,0.00866,3.37,3.23,4.4,4.80E-07,5.50E-09,7.20E-07,2.50E-05,1.10E-04,1.00E-04,3.10E-05,8.00E-09,2.90E-09,5.80E-05,3.70E-06,APO,0,0.554,,,,,,,,,
3321628,       (2006 CM10),2006 CM10,Y,Y,21.7,0,,,,,,,,,,,,,,JPL 18,2006-02-17.0,J2000,0.701,2.133,0.638,18.31,143.32,92.08,342.95,3.63,0.3164,2453837.39,2006-04-11.8,1.14E+03,3.11,0.0191,7.42,1.89,3.31,1.20E-03,7.20E-03,3.20E-04,3.10E-02,4.10E-03,3.30E-03,9.60E-02,1.20E-02,1.60E-03,3.30E-02,5.70E+00,APO,8,0.53893,,,,,,,,,
3321667,       (2006 CT10),2006 CT10,Y,Y,21.2,0,,,,,,,,,,,,,,18,2025-11-21.0,J2000,0.6626,2.889,0.975,12.89,111.2,30.5,10.11,4.8,0.2007,2460950.14,2025-10-01.6,1.79E+03,4.91,0.0355,13.8,0.505,2.89,8.60E-08,2.50E-07,2.30E-07,3.20E-05,2.90E-04,2.60E-04,1.80E-04,4.10E-07,2.60E-08,8.80E-04,2.30E-04,APO,1,0.57983,,,,,,,,,
3329371,       (2006 GC1),2006 GC1,Y,Y,20.5,0,,,,,,,,,,,,,,22,2025-11-21.0,J2000,0.8171,1.707,0.312,5.97,196.07,232.95,318.87,3.1,0.442,2461093.54,2026-02-22.0,814,2.23,0.00914,3.56,2.26,3.71,1.20E-07,3.10E-08,2.20E-07,1.00E-05,8.30E-05,8.20E-05,2.60E-05,5.70E-08,1.20E-08,6.10E-05,2.20E-05,APO,0,0.64061,,,,,,,,,
3330049,       (2006 HC2),2006 HC2,Y,Y,21.77,0,,,,,,,,,,,,,,20,2025-11-21.0,J2000,0.4868,1.71,0.878,3.75,198.07,66.86,252.5,2.54,0.4407,2461244.46,2026-07-22.9,817,2.24,0.016,6.21,2.56,4.04,6.30E-08,2.60E-08,9.90E-08,2.70E-05,7.80E-05,8.40E-05,8.10E-05,3.90E-08,1.00E-08,1.90E-04,1.90E-05,APO,0,0.8856,,,,,,,,,
