spkid,full_name,pdes,neo,pha,H,Mass,G,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,condition_code,rms,two_body,A1,A1_sigma,A2,A2_sigma,A3,A3_sigma,DT,DT_sigma
3176186,       (2004 DM44),2004 DM44,Y,Y,20.7,0,,,,,,,,,,,,,,23,2025-11-21.0,J2000,0.711,2.479,0.716,10.54,350.66,95.75,220.12,4.24,0.2525,2461554.38,2027-05-28.8,1.43E+03,3.9,0.041,16,1.36,3.05,5.10E-08,6.30E-08,1.40E-07,4.80E-05,3.30E-05,4.00E-05,7.60E-05,1.10E-07,9.60E-09,3.20E-04,5.40E-05,APO,0,0.50094,,,,,,,,,
3177177,       (2004 EH1),2004 EH1,Y,Y,21.98,0,,,,,,,,,,,,,,31,2025-11-21.0,J2000,0.5334,2.009,0.937,7.52,356.74,231.99,199.58,3.08,0.3461,2461463.97,2027-02-27.4,1.04E+03,2.85,0.0337,13.1,1.97,3.63,1.00E-07,4.70E-09,2.00E-07,1.40E-05,1.80E-05,5.30E-05,1.10E-05,7.10E-09,1.20E-09,3.50E-05,3.60E-06,APO,0,0.51095,,,,,,,,,
3177204,       (2004 FW1),2004 FW1,Y,Y,21.01,0,,,,,1.36622,,,,,,,,,31,2025-11-21.0,J2000,0.7171,1.611,0.456,10.16,194.43,91.42,189.06,2.77,0.482,2461355.14,2026-11-10.6,747,2.04,0.0474,18.5,2.51,3.99,5.20E-08,4.90E-09,8.20E-08,1.20E-05,3.70E-05,3.60E-05,1.30E-05,8.40E-09,2.20E-09,2.90E-05,3.40E-06,APO,0,0.5305,,,,,,,,,
3177223,       (2004 FJ11),2004 FJ11,Y,Y,21.03,0,,,,,,,,,,,,,,35,2025-11-21.0,J2000,0.5618,2.248,0.985,2.39,20.88,232.5,129.53,3.51,0.2924,2460557.51,2024-09-04.0,1.23E+03,3.37,0.0209,8.12,1.56,3.4,4.50E-08,1.60E-08,9.50E-08,7.30E-06,8.40E-05,9.90E-05,3.70E-05,2.50E-08,3.10E-09,1.20E-04,1.30E-05,APO,0,0.61686,,,,,,,,,
3177237,       (2004 FY31),2004 FY31,Y,Y,21.97,0,,,,,,,,,,,,,,20,2025-11-21.0,J2000,0.5544,2.17,0.967,11.17,28.7,197.48,271.75,3.37,0.3083,2461286.73,2026-09-03.2,1.17E+03,3.2,0.0185,7.2,1.64,3.45,5.00E-05,2.20E-04,8.30E-06,1.00E-03,4.90E-04,1.10E-03,4.80E-01,3.50E-04,4.80E-05,1.60E+00,1.80E-01,APO,6,0.39915,,,,,,,,,
3179352,       (2004 GB2),2004 GB2,Y,Y,21,0,,,,,,,,,,,,,,12,2025-11-21.0,J2000,0.6494,2.118,0.743,12.42,208.93,255.45,27.76,3.49,0.3197,2460913.68,2025-08-26.1,1.13E+03,3.08,0.022,8.57,1.93,3.4,5.40E-05,3.20E-04,1.20E-05,1.60E-03,1.80E-03,1.60E-03,7.20E-01,5.30E-04,7.30E-05,2.20E+00,2.60E-01,APO,6,0.71995,,,,,,,,,
3179354,       (2004 GE2),2004 GE2,Y,Y,21.5,0,,,,,,,,,,,,,,JPL 16,2004-04-16.0,J2000,0.7067,2.045,0.6,2.16,45.13,259.93,341.24,3.49,0.3369,2453167.18,2004-06-10.6,1.07E+03,2.93,0.00572,2.23,1.79,3.43,1.60E-03,9.60E-03,4.70E-04,4.00E-03,6.60E-03,1.30E-02,1.50E-01,1.60E-02,2.40E-03,5.40E-02,7.50E+00,APO,8,0.57641,,,,,,,,,
3180149,       (2004 HD2),2004 HD2,Y,Y,21.1,0,,,,,,,,,,,,,,JPL 13,2004-04-26.0,J2000,0.8338,2.317,0.385,15.44,26.9,61.77,15.25,4.25,0.2795,2453066.96,2004-03-02.4,1.29E+03,3.53,0.034,13.2,1.53,2.96,6.40E-04,8.10E-03,1.30E-04,1.60E-02,6.50E-03,1.80E-02,8.70E-02,1.50E-02,1.50E-03,2.50E-02,6.80E+00,APO,8,0.7616,,,,,,,,,
3180152,       (2004 HF12),2004 HF12,Y,Y,20.52,0,,,,,,,,,,,,,,17,2025-11-21.0,J2000,0.6489,2.137,0.75,13.41,21.8,105.98,341.25,3.52,0.3154,2461059.95,2026-01-19.4,1.14E+03,3.12,0.0191,7.44,1.8,3.38,9.40E-05,1.10E-03,1.90E-04,3.70E-04,3.10E-03,7.20E-03,1.60E+00,1.80E-03,2.40E-04,5.10E+00,8.90E-01,APO,6,0.70445,,,,,,,,,
3180153,       (2004 HG12),2004 HG12,Y,Y,22.54,0,,,,,,,,,,,,,,JPL 10,2004-04-24.0,J2000,0.345,1.442,0.945,26.54,208.22,48.48,337.44,1.94,0.5691,2453159.14,2004-06-02.6,633,1.73,0.0267,10.4,3.18,4.49,2.30E-03,5.10E-03,1.20E-05,1.00E-01,1.70E-02,9.10E-02,1.80E-01,6.90E-03,3.00E-03,1.10E-01,3.40E+00,APO,8,0.39835,,,,,,,,,
3180182,       (2004 HC39),2004 HC39,Y,Y,21.5,0,,,,,,,,,,,,,,25,2025-11-21.0,J2000,0.5014,1.814,0.904,14.64,55.99,224.4,277.81,2.72,0.4036,2461204.16,2026-06-12.6,892,2.44,0.00905,3.52,2.5,3.86,4.90E-04,1.80E-03,7.20E-06,9.20E-03,2.90E-03,6.50E-04,4.80E+00,2.70E-03,6.00E-04,1.20E+01,1.30E+00,APO,7,0.4936,,,,,,,,,
3182189,       (2004 KB),2004 KB,Y,Y,21.09,0,,,,,,,,,,,,,,21,2025-11-21.0,J2000,0.289,1.188,0.845,20.68,230.91,243.26,309.3,1.53,0.7612,2461067.11,2026-01-26.6,473,1.29,0.0224,8.7,3.71,5.24,2.50E-06,1.20E-07,3.00E-06,5.40E-05,5.40E-05,3.20E-04,4.90E-04,1.60E-07,1.20E-07,6.50E-04,7.40E-05,APO,1,0.56683,,,,,,,,,
3182830,       (2004 KE17),2004 KE17,Y,Y,21.5,0,,,,,,,,,,,,,,JPL 13,2004-06-01.0,J2000,0.622,2.799,1.058,26.96,68.92,175.29,0.76,4.54,0.2105,2453153.88,2004-05-28.3,1.71E+03,4.68,0.0456,17.8,0.506,2.88,8.80E-03,6.70E-02,4.00E-04,1.80E-01,1.90E-02,2.40E-02,3.30E-02,1.10E-01,7.50E-03,3.00E-02,6.10E+01,AMO,9,0.44111,,,,,,,,,
3183834,       (2004 LB),2004 LB,Y,Y,21.6,0,,,,,,,,,,,,,,22,2025-11-21.0,J2000,0.0529,1.051,0.996,37.33,254.01,144.7,185.92,1.11,0.9144,2461190.87,2026-05-30.3,394,1.08,0.0195,7.58,4.04,5.66,1.70E-07,2.00E-09,1.80E-07,1.30E-04,1.50E-05,3.80E-04,4.10E-04,2.10E-09,2.60E-09,4.50E-04,1.10E-06,APO,0,0.54026,,,,,,,,,
3183851,       (2004 LY5),2004 LY5,Y,Y,21.68,0,,,,,,,,,,,,,,12,2025-11-21.0,J2000,0.7777,1.831,0.407,16.05,86.8,295.66,214.11,3.26,0.3978,2461367.28,2026-11-22.7,905,2.48,0.0183,7.11,2.4,3.56,3.90E-07,1.20E-07,6.90E-07,1.80E-04,3.80E-05,7.30E-05,1.80E-04,2.20E-07,4.00E-08,4.90E-04,9.20E-05,APO,1,0.51193,,,,,,,,,
3184160,       (2004 MX2),2004 MX2,Y,Y,19.3,2.710278336,,1.258,,0.021,,,,,,,,,0.08,28,2025-11-21.0,J2000,0.7183,2.763,0.778,18.09,116.14,243.79,219.91,4.75,0.2146,2461653.22,2027-09-04.7,1.68E+03,4.59,0.00117,0.456,1.44,2.85,1.10E-07,3.50E-08,2.90E-07,3.30E-05,4.10E-05,3.40E-05,2.00E-05,6.10E-08,4.10E-09,1.00E-04,3.20E-05,APO,0,0.41473,,,,,,,,,
3184479,       (2004 MP7),2004 MP7,Y,Y,21.7,0,,,,,,,,,,,,,,19,2025-11-21.0,J2000,0.7176,2.733,0.772,17.65,94.98,112.44,275.42,4.69,0.2182,2461388.18,2026-12-13.6,1.65E+03,4.52,0.0114,4.44,1.22,2.87,4.00E-04,3.10E-03,2.20E-04,2.20E-02,6.70E-02,4.90E-02,3.70E+00,5.30E-03,3.70E-04,1.80E+01,2.80E+00,APO,7,0.45524,,,,,,,,,
3249347,       (2004 PS42),2004 PS42,Y,Y,21.23,0,,,,,,,,,,,,,,41,2025-11-21.0,J2000,0.1675,1.242,1.034,23.19,304.29,323.55,166.87,1.45,0.7117,2460766.04,2025-03-31.5,506,1.38,0.0461,17.9,3.72,5.07,5.80E-08,1.60E-09,7.10E-08,2.40E-05,8.70E-06,1.60E-05,1.50E-05,1.90E-09,1.40E-09,2.10E-05,9.80E-07,AMO,0,0.55477,,,,,,,,,
3249785,       (2004 QB),2004 QB,Y,Y,19.8,0,,,,,,,,,,,,,,16,2025-11-21.0,J2000,0.6551,2.11,0.728,11.09,130.37,112.79,352.76,3.49,0.3216,2461023.01,2025-12-13.5,1.12E+03,3.06,0.02,7.77,1.69,3.41,9.80E-05,1.10E-03,1.70E-04,1.60E-03,1.20E-03,6.40E-03,1.40E+00,1.80E-03,2.50E-04,4.50E+00,8.80E-01,APO,7,0.23845,,,,,,,,,
3249983,       (2004 QX2),2004 QX2,Y,Y,21.72,0,,,,,,,,,,,,,,JPL 11,2004-08-25.0,J2000,0.9027,1.286,0.125,19.07,320.38,218.61,37.12,2.45,0.6756,2453187.55,2004-07-01.0,533,1.46,0.0369,14.4,2.64,4.45,5.30E-04,2.60E-03,4.30E-04,5.00E-02,2.20E-02,4.40E-02,1.40E-01,4.90E-03,2.00E-03,3.70E-02,1.60E+00,APO,8,0.68447,,,,,,,,,
3251448,       (2004 RQ10),2004 RQ10,Y,Y,21.01,0,,,,,5.69,,,,,,,,,41,2025-11-21.0,J2000,0.4414,1.865,1.042,5.68,335.19,349.62,123.94,2.69,0.3869,2460680.12,2025-01-04.6,931,2.55,0.0324,12.6,2.66,3.86,4.80E-07,1.70E-06,3.30E-07,1.40E-05,4.90E-05,1.40E-04,4.20E-03,2.50E-06,5.30E-07,1.00E-02,1.30E-03,AMO,3,0.32777,,,,,,,,,
3251517,       (2004 RW10),2004 RW10,Y,Y,21.07,0,,,,,,,,,,,,,,21,2025-11-21.0,J2000,0.5951,2.349,0.951,3.11,206.03,71.89,327.36,3.75,0.2738,2461119.71,2026-03-20.2,1.31E+03,3.6,0.0335,13.1,1.43,3.29,1.20E-07,3.70E-08,2.70E-07,2.70E-05,4.00E-04,4.00E-04,6.60E-05,5.80E-08,6.40E-09,2.40E-04,3.10E-05,APO,0,0.68922,,,,,,,,,
3251513,       (2004 RY10),2004 RY10,Y,Y,21.4,0,,,,,,,,,,,,,,26,2025-11-21.0,J2000,0.6227,1.677,0.633,15.53,165.66,283.52,241.51,2.72,0.4537,2461261.67,2026-08-09.1,793,2.17,0.0445,17.3,2.71,3.96,5.90E-08,4.80E-09,9.70E-08,2.00E-05,1.20E-05,1.90E-05,1.40E-05,7.70E-09,1.90E-09,3.10E-05,3.40E-06,APO,0,0.4904,,,,,,,,,
3251712,       (2004 RE84),2004 RE84,Y,Y,21.9,0,,,,,,,,,,,,,,40,2025-11-21.0,J2000,0.6055,1.674,0.66,2,321.9,131.88,248.38,2.69,0.455,2461245.82,2026-07-24.3,791,2.17,0.0203,7.89,2.55,4.01,1.60E-08,2.20E-09,2.60E-08,7.30E-06,1.80E-04,1.90E-04,4.60E-06,3.60E-09,9.10E-10,1.00E-05,1.60E-06,APO,0,0.48066,,,,,,,,,
3251889,       (2004 RY109),2004 RY109,Y,Y,19.12,0,,,,,,,,,,,,,,40,2025-11-21.0,J2000,0.425,1.628,0.936,26.13,352.34,306.86,101.66,2.32,0.4746,2460786.32,2025-04-20.8,758,2.08,0.0475,18.5,3.18,4.11,7.70E-08,2.20E-08,1.30E-07,2.00E-05,1.70E-05,2.30E-05,7.60E-05,3.20E-08,9.80E-09,1.50E-04,1.60E-05,APO,0,0.5709,,,,,,,,,
3252349,       (2004 RZ164),2004 RZ164,Y,Y,19,0,,,,,2.5561,,,,,,,,,63,2025-11-21.0,J2000,0.6072,2.562,1.007,13.85,74.72,345.98,44.03,4.12,0.2403,2460817.29,2025-05-21.7,1.50E+03,4.1,0.0305,11.9,1.26,3.11,6.60E-09,4.60E-08,1.90E-08,6.70E-06,2.70E-06,1.40E-05,4.50E-05,7.50E-08,6.50E-09,1.80E-04,4.10E-05,APO,0,0.29802,,,,,,,,,
3253151,       (2004 SS),2004 SS,Y,Y,21.9,0,,,,,58,,,,,,,,,44,2025-11-21.0,J2000,0.5291,2.196,1.034,6.52,1.35,353.34,183.1,3.36,0.3028,2461584.78,2027-06-28.2,1.19E+03,3.26,0.0311,12.1,2.08,3.46,2.30E-08,3.90E-09,4.90E-08,4.40E-06,7.50E-06,2.10E-05,3.10E-06,5.90E-09,8.00E-10,9.40E-06,3.10E-06,AMO,0,0.33381,,,,,,,,,
3255979,       (2004 TN1),2004 TN1,Y,Y,21.8,0,,,,,,,,,,,,,,19,2025-11-21.0,J2000,0.6951,2.757,0.841,8.39,213.54,233.99,210.27,4.67,0.2153,2461695.89,2027-10-17.3,1.67E+03,4.58,0.00627,2.44,0.819,2.92,3.20E-04,1.80E-03,3.50E-04,9.80E-04,1.70E-02,1.90E-02,1.10E+00,3.00E-03,2.10E-04,5.80E+00,1.60E+00,APO,6,0.74324,,,,,,,,,
3256319,       (2004 TB10),2004 TB10,Y,Y,21.5,0,,,,,,,,,,,,,,21,2025-11-21.0,J2000,0.0937,1.103,1,22.5,12.82,149.91,295.12,1.21,0.8504,2461076.8,2026-02-05.3,423,1.16,0.0106,4.13,3.76,5.56,2.50E-07,1.60E-08,2.60E-07,2.40E-05,1.70E-05,3.10E-04,2.60E-04,1.70E-08,1.80E-08,3.00E-04,8.90E-06,APO,0,0.45364,,,,,,,,,
3256328,       (2004 TL10),2004 TL10,Y,Y,21.3,0,,,,,,,,,,,,,,18,2025-11-21.0,J2000,0.6572,2.651,0.909,9.5,10,325.52,320.74,4.39,0.2283,2461172.5,2026-05-11.9,1.58E+03,4.32,0.0126,4.91,1.07,3.02,1.10E-07,3.30E-07,2.50E-07,5.50E-05,1.00E-04,1.80E-04,8.30E-05,5.50E-07,4.30E-08,3.90E-04,2.90E-04,APO,1,0.47657,,,,,,,,,
3257091,       (2004 UE),2004 UE,Y,Y,21.36,0,,,,,7.3,,,,,,,,,65,2025-11-21.0,J2000,0.646,2.632,0.932,14.57,225.42,217.7,332.91,4.33,0.2308,2461117.86,2026-03-18.3,1.56E+03,4.27,0.0172,6.69,1.18,3.03,1.80E-08,1.20E-08,5.20E-08,5.30E-06,1.40E-06,1.30E-05,5.50E-07,1.90E-08,1.50E-09,3.10E-06,1.00E-05,APO,0,0.30014,,,,,,,,,
3260293,       (2004 UV1),2004 UV1,Y,Y,17.79,0,,,,,,,,,,,,,,159,2025-11-21.0,J2000,0.651,2.82,0.984,20.78,76.39,20.48,146.33,4.66,0.2081,2460297.23,2023-12-18.7,1.73E+03,4.74,0.0229,8.92,0.796,2.89,1.10E-08,4.10E-09,3.00E-08,3.50E-06,9.00E-06,8.80E-06,1.60E-06,6.70E-09,4.50E-10,6.40E-06,3.70E-06,APO,0,0.4411,,,,,,,,,
3262792,       (2004 WK1),2004 WK1,Y,Y,21.1,0,,,,,,,,,,,,,,16,2025-11-21.0,J2000,0.7303,1.084,0.292,34.45,51.77,223.17,268.03,1.88,0.8728,2461105.88,2026-03-06.3,412,1.13,0.0418,16.3,3.42,5.31,1.80E-06,7.80E-09,1.90E-06,1.60E-04,4.50E-05,1.30E-04,9.90E-05,1.40E-08,9.50E-09,1.10E-04,4.50E-06,APO,1,0.48685,,,,,,,,,
3263235,       (2004 XO),2004 XO,Y,Y,21.69,0,,,,,,,,,,,,,,27,2025-11-21.0,J2000,0.0967,1.035,0.935,26.01,249.95,71.02,62.87,1.14,0.9354,2460933.29,2025-09-14.7,385,1.05,0.0206,8.02,3.98,5.82,4.30E-07,2.20E-08,4.60E-07,6.70E-05,1.80E-05,1.10E-04,1.00E-04,2.40E-08,3.00E-08,1.10E-04,1.20E-05,APO,0,0.55467,,,,,,,,,
3263539,       (2004 XN29),2004 XN29,Y,Y,21.87,0,,,,,,,,,,,,,,12,2025-11-21.0,J2000,0.7035,2.422,0.718,2.36,319.64,37.33,214.49,4.13,0.2614,2461557.09,2027-05-31.5,1.38E+03,3.77,0.0247,9.6,1.34,3.12,6.10E-05,2.80E-03,9.70E-04,1.70E-02,3.00E-01,2.10E-01,5.10E+00,4.70E-03,4.50E-04,1.80E+01,2.40E+00,APO,7,0.55049,,,,,,,,,
3265824,       (2005 AV27),2005 AV27,Y,Y,20.59,0,,,,,,,,,,,,,,16,2025-11-21.0,J2000,0.6472,2.262,0.798,5.89,67.57,139.49,35.55,3.73,0.2898,2460877.83,2025-07-21.3,1.24E+03,3.4,0.0393,15.3,1.25,3.3,5.40E-08,7.20E-09,1.20E-07,1.00E-05,1.30E-04,1.30E-04,8.80E-06,1.20E-08,1.40E-09,3.00E-05,5.90E-06,APO,0,0.45937,,,,,,,,,
3267783,       (2005 DD),2005 DD,Y,Y,20.39,0,,,,,,,,,,,,,,25,2025-11-21.0,J2000,0.5679,1.934,0.836,7.32,157.12,252.35,297.1,3.03,0.3664,2461172.19,2026-05-11.6,983,2.69,0.0305,11.9,2.41,3.69,3.80E-07,3.00E-08,7.20E-07,2.70E-05,1.00E-04,1.60E-04,3.00E-05,4.70E-08,8.50E-09,8.60E-05,2.30E-05,APO,0,0.433,,,,,,,,,
3273446,       (2005 EA),2005 EA,Y,Y,20.94,0,,,,,,,,,,,,,,29,2025-11-21.0,J2000,0.6395,1.301,0.469,14.06,346.8,298.98,292.18,2.13,0.664,2461102.64,2026-03-03.1,542,1.48,0.0329,12.8,3.14,4.74,2.60E-07,1.40E-08,3.30E-07,4.20E-05,2.30E-05,2.70E-05,4.20E-05,2.30E-08,1.10E-08,6.40E-05,8.80E-06,APO,0,0.54069,,,,,,,,,
3273524,       (2005 EO33),2005 EO33,Y,Y,21.3,0,,,,,,,,,,,,,,JPL 11,2005-03-12.0,J2000,0.5729,1.968,0.841,4.61,289.74,158.48,22.48,3.1,0.3569,2453378.52,2005-01-08.0,1.01E+03,2.76,0.0411,16,2.16,3.65,1.80E-03,8.20E-03,5.80E-05,7.00E-03,8.40E-02,1.10E-01,1.60E-01,1.30E-02,2.20E-03,4.50E-02,6.30E+00,APO,8,0.64306,,,,,,,,,
3274302,       (2005 EW169),2005 EW169,Y,Y,19.66,0,,,,,,,,,,,,,,40,2025-11-21.0,J2000,0.5686,2.384,1.028,1.51,223.43,221.96,259.95,3.74,0.2678,2461374.07,2026-11-29.5,1.34E+03,3.68,0.0474,18.4,1.54,3.3,1.40E-07,2.70E-08,3.40E-07,8.10E-06,3.10E-04,3.10E-04,1.80E-05,4.20E-08,4.50E-09,7.10E-05,2.20E-05,AMO,0,0.57288,,,,,,,,,
3275203,       (2005 FE3),2005 FE3,Y,Y,19.3,0,,,,,,,,,,,,,,23,2025-11-21.0,J2000,0.5304,2.118,0.995,13.11,90.53,145.17,241.6,3.24,0.3197,2461370.84,2026-11-26.3,1.13E+03,3.08,0.0323,12.6,1.83,3.51,7.00E-08,8.10E-08,1.50E-07,2.30E-05,6.00E-05,6.90E-05,1.50E-04,1.20E-07,1.80E-08,5.00E-04,6.50E-05,APO,0,0.50502,,,,,,,,,
3275512,       (2005 GU),2005 GU,Y,Y,20.03,0,,,,,,,,,,,,,,28,2025-11-21.0,J2000,0.6148,1.552,0.598,25.04,26.82,275.86,206.67,2.51,0.51,2461301.18,2026-09-17.6,706,1.93,0.0131,5.1,3.16,4.13,1.90E-07,1.10E-08,3.00E-07,3.40E-05,1.10E-05,3.20E-05,3.60E-05,1.80E-08,5.60E-09,7.50E-05,7.70E-06,APO,0,0.38673,,,,,,,,,
3275514,       (2005 GJ8),2005 GJ8,Y,Y,20.54,0,,,,,,,,,,,,,,23,2025-11-21.0,J2000,0.5513,1.766,0.792,3.39,252.56,214.87,310.56,2.74,0.4199,2461118.23,2026-03-18.7,857,2.35,0.0285,11.1,2.44,3.92,1.20E-07,2.90E-08,2.10E-07,7.70E-06,2.70E-04,2.80E-04,3.30E-05,4.50E-08,1.00E-08,8.20E-05,2.10E-05,APO,0,0.52098,,,,,,,,,
3275673,       (2005 GY8),2005 GY8,Y,Y,21.9,0,,,,,,,,,,,,,,16,2025-11-21.0,J2000,0.6743,2.046,0.666,2.83,179.57,103.57,348.59,3.43,0.3368,2461034.37,2025-12-24.8,1.07E+03,2.93,0.0034,1.32,1.77,3.47,2.50E-07,1.00E-07,5.30E-07,3.50E-05,2.00E-04,2.20E-04,1.70E-04,1.70E-07,2.50E-08,5.00E-04,8.10E-05,APO,1,0.49662,,,,,,,,,
3276397,       (2005 GD60),2005 GD60,Y,Y,21.7,0,,,,,,,,,,,,,,23,2025-11-21.0,J2000,0.3743,1.33,0.832,9.9,199.04,100.13,105.53,1.83,0.6425,2460836.24,2025-06-09.7,560,1.53,0.0323,12.6,3.43,4.84,3.80E-07,2.20E-08,5.00E-07,5.70E-05,3.60E-05,6.40E-05,1.20E-04,3.00E-08,1.60E-08,1.80E-04,1.40E-05,APO,0,0.42775,,,,,,,,,
3276441,       (2005 GH81),2005 GH81,Y,Y,21.71,0,,,,,,,,,,,,,,13,2025-11-21.0,J2000,0.5446,1.946,0.886,11.72,19.57,118.56,229.34,3.01,0.363,2461360.48,2026-11-15.9,992,2.72,0.0419,16.3,2.13,3.68,3.50E-04,9.70E-04,2.40E-04,6.40E-03,7.80E-03,3.10E-03,4.00E+00,1.50E-03,2.70E-04,1.10E+01,7.40E-01,APO,7,0.59176,,,,,,,,,
3277570,       (2005 JU1),2005 JU1,Y,Y,21.7,0,,,,,,,,,,,,,,26,2025-11-21.0,J2000,0.6873,2.334,0.73,6.07,32.83,269.68,253.07,3.94,0.2763,2461387.43,2026-12-12.9,1.30E+03,3.57,0.0328,12.8,1.4,3.2,1.30E-07,4.10E-08,3.00E-07,3.30E-05,3.60E-05,5.20E-05,4.70E-05,7.00E-08,7.30E-09,1.80E-04,3.50E-05,APO,0,0.38258,,,,,,,,,
3278078,       (2005 JU81),2005 JU81,Y,Y,21.79,0,,,,,,,,,,,,,,21,2025-11-21.0,J2000,0.2774,1.116,0.807,17.29,56.3,72.52,214.53,1.43,0.8357,2461174.57,2026-05-14.0,431,1.18,0.0294,11.5,3.7,5.51,3.50E-08,8.40E-10,4.00E-08,1.90E-05,1.40E-05,2.10E-05,1.10E-05,1.10E-09,9.50E-10,1.40E-05,4.90E-07,APO,0,0.37726,,,,,,,,,
3279221,       (2005 KJ10),2005 KJ10,Y,Y,21.71,0,,,,,,,,,,,,,,19,2025-11-21.0,J2000,0.5796,1.883,0.792,8.17,81.15,233.98,313.69,2.97,0.3814,2461121.92,2026-03-22.4,944,2.58,0.0295,11.5,2.37,3.73,6.50E-08,4.90E-09,1.20E-07,3.20E-05,1.10E-04,1.10E-04,1.70E-05,7.80E-09,1.50E-09,4.50E-05,3.70E-06,APO,0,0.52079,,,,,,,,,
3279740,       (2005 LX36),2005 LX36,Y,Y,20.9,0,,,,,,,,,,,,,,18,2025-11-21.0,J2000,0.5754,1.03,0.437,32.97,252.73,239.13,263.28,1.62,0.943,2461103.08,2026-03-03.5,382,1.05,0.024,9.34,3.74,5.66,5.10E-07,1.70E-08,5.40E-07,3.50E-05,7.80E-05,3.90E-05,1.90E-04,2.70E-08,2.40E-08,2.00E-04,9.60E-06,APO,1,0.67096,,,,,,,,,
3283571,       (2005 NE7),2005 NE7,Y,Y,19.01,0,,,,,,,,,,,,,,21,2025-11-21.0,J2000,0.6466,2.047,0.723,9.53,80.27,307.03,321.05,3.37,0.3366,2461116.23,2026-03-16.7,1.07E+03,2.93,0.0477,18.5,2.13,3.49,9.70E-08,2.10E-07,2.10E-07,3.40E-05,1.60E-04,1.60E-04,3.40E-04,3.40E-07,5.10E-08,1.00E-03,1.60E-04,APO,1,0.36664,,,,,,,,,
3284923,       (2005 OX),2005 OX,Y,Y,20.6,0,,,,,,,,,,,,,,18,2025-11-21.0,J2000,0.6177,1.331,0.509,7.62,323.59,100.5,38.52,2.15,0.6418,2460940.49,2025-09-21.9,561,1.54,0.0168,6.55,3.23,4.7,3.60E-08,1.80E-09,4.80E-08,7.10E-06,4.10E-05,3.50E-05,1.00E-05,3.00E-09,1.30E-09,1.60E-05,1.20E-06,APO,0,0.58361,,,,,,,,,
3285304,       (2005 OD3),2005 OD3,Y,Y,21.2,0,,,,,,,,,,,,,,14,2025-11-21.0,J2000,0.6031,2.372,0.941,16.19,323.71,38.33,189.79,3.8,0.2698,2461631.29,2027-08-13.7,1.33E+03,3.65,0.00833,3.24,1.84,3.23,7.10E-08,3.40E-08,1.60E-07,2.50E-05,3.40E-05,3.00E-05,4.60E-05,5.50E-08,5.80E-09,1.80E-04,2.90E-05,APO,0,0.52485,,,,,,,,,
3285299,       (2005 OE3),2005 OE3,Y,Y,20.38,0,,,,,100,,,,,,,,,54,2025-11-21.0,J2000,0.4285,1.567,0.895,25.37,321.02,58.43,97.01,2.24,0.5025,2460807.46,2025-05-11.9,716,1.96,0.0255,9.93,3.45,4.22,8.60E-08,3.50E-08,1.20E-07,7.40E-06,1.80E-06,2.40E-05,1.30E-04,5.00E-08,1.70E-08,2.50E-04,2.40E-05,APO,0,0.26724,,,,,,,,,
3288478,       (2005 PA5),2005 PA5,Y,Y,21.8,0,,,,,,,,,,,,,,18,2025-11-21.0,J2000,0.2268,1.322,1.022,15.33,133.04,149.05,149.79,1.62,0.6487,2460769.59,2025-04-04.0,555,1.52,0.0317,12.3,3.54,4.88,8.70E-08,2.60E-08,1.30E-07,2.10E-05,2.00E-05,8.20E-05,2.10E-04,3.20E-08,1.90E-08,3.10E-04,1.60E-05,AMO,1,0.43344,,,,,,,,,
3289742,       (2005 QZ151),2005 QZ151,Y,Y,20.3,0,,,,,,,,,,,,,,35,2025-11-21.0,J2000,0.5796,1.938,0.815,4.85,20.69,63.23,149.74,3.06,0.3654,2460590.66,2024-10-07.1,985,2.7,0.00486,1.89,2.24,3.68,4.50E-08,1.40E-08,8.30E-08,1.30E-05,7.10E-05,7.00E-05,2.90E-05,2.20E-08,3.90E-09,7.40E-05,1.10E-05,APO,0,0.66114,,,,,,,,,
3290808,       (2005 RC34),2005 RC34,Y,Y,19.77,0,,,,,,,,,,,,,,58,2025-11-21.0,J2000,0.5132,2.061,1.003,10.77,290.93,36.15,300.93,3.12,0.3331,2461177.81,2026-05-17.3,1.08E+03,2.96,0.0386,15,2.28,3.59,2.40E-08,9.60E-09,5.20E-08,1.00E-05,8.50E-06,1.80E-05,1.40E-05,1.40E-08,2.30E-09,4.40E-05,7.50E-06,APO,0,0.37082,,,,,,,,,
3292263,       (2005 TP),2005 TP,Y,Y,20.8,0,,,,,,,,,,,,,,21,2025-11-21.0,J2000,0.5884,2.279,0.938,7.88,86.38,353.73,288.54,3.62,0.2865,2461249.9,2026-07-28.4,1.26E+03,3.44,0.0391,15.2,1.68,3.34,7.00E-08,4.10E-08,1.60E-07,1.20E-05,1.00E-04,1.00E-04,6.10E-05,6.50E-08,7.70E-09,2.20E-04,3.40E-05,APO,0,0.51582,,,,,,,,,
