"spkid","full_name"
20138013,"138013 (2000 CN101)"
20138095,"138095 (2000 DK79)"
20138127,"138127 (2000 EE14)"
20138155,"138155 (2000 ES70)"
20138175,"138175 (2000 EE104)"
20138205,"138205 (2000 EZ148)"
20138258,"138258 (2000 GD2)"
20138325,"138325 (2000 GO82)"
20138359,"138359 (2000 GX127)"
20138404,"138404 (2000 HA24)"
20138524,"138524 (2000 OJ8)"
20138727,"138727 (2000 SU180)"
20138815,"138815 (2000 TQ64)"
20138846,"138846 (2000 VJ61)"
20138847,"138847 (2000 VE62)"
20138852,"138852 (2000 WN10)"
20138859,"138859 (2000 WN63)"
20138877,"138877 (2000 XG47)"
20138883,"138883 (2000 YL29)"
20138893,"138893 (2000 YH66)"
20138911,"138911 (2001 AE2)"
20138925,"138925 (2001 AU43)"
20138937,"138937 (2001 BK16)"
20138947,"138947 (2001 BA40)"
20138971,"138971 (2001 CB21)"
20139047,"139047 (2001 EB16)"
20139056,"139056 (2001 FY)"
20139211,"139211 (2001 GN2)"
20139289,"139289 (2001 KR1)"
20139345,"139345 (2001 KA67)"
20139359,"139359 (2001 ME1)"
20139622,"139622 (2001 QQ142)"
20140039,"140039 (2001 SO73)"
20140158,"140158 (2001 SX169)"
20140288,"140288 (2001 SN289)"
20140333,"140333 (2001 TD2)"
20140928,"140928 (2001 VG75)"
20141018,"141018 (2001 WC47)"
20141052,"141052 (2001 XR1)"
20141053,"141053 (2001 XT1)"
20141056,"141056 (2001 XV4)"
20141078,"141078 (2001 XQ30)"
20141079,"141079 (2001 XS30)"
20141354,"141354 (2002 AJ29)"
20141424,"141424 (2002 CD)"
20141432,"141432 (2002 CQ11)"
20141447,"141447 (2002 CW59)"
20141484,"141484 (2002 DB4)"
20141495,"141495 (2002 EZ11)"
20141498,"141498 (2002 EZ16)"
20141525,"141525 (2002 FV5)"
20141526,"141526 (2002 FA6)"
20141527,"141527 (2002 FG7)"
20141531,"141531 (2002 GB)"
20141593,"141593 (2002 HK12)"
20141614,"141614 (2002 JV15)"
20141670,"141670 (2002 JS100)"
20141761,"141761 (2002 MC)"
20141765,"141765 (2002 MP3)"
20141851,"141851 (2002 PM6)"
20141874,"141874 (2002 PO34)"
20142040,"142040 (2002 QE15)"
20142348,"142348 (2002 RX211)"
20142464,"142464 (2002 TC9)"
20142555,"142555 (2002 TB58)"
20142561,"142561 (2002 TX68)"
20142563,"142563 (2002 TR69)"
20142781,"142781 (2002 UM11)"
20143381,"143381 (2003 BC21)"
20143404,"143404 (2003 BD44)"
20143409,"143409 (2003 BQ46)"
20143487,"143487 (2003 CR20)"
20143527,"143527 (2003 EN16)"
20143624,"143624 (2003 HM16)"
20143637,"143637 (2003 LP6)"
20143643,"143643 (2003 NP7)"
20143649,"143649 (2003 QQ47)"
20143651,"143651 (2003 QO104)"
20143678,"143678 (2003 SA224)"
20143947,"143947 (2003 YQ117)"
20143992,"143992 (2004 AF)"
20144332,"144332 (2004 DV24)"
20144411,"144411 (2004 EW9)"
20144861,"144861 (2004 LA12)"
20144898,"144898 (2004 VD17)"
20144900,"144900 (2004 VG64)"
20144901,"144901 (2004 WG1)"
20144922,"144922 (2005 CK38)"
20145656,"145656 (4788 P-L)"
20152558,"152558 (1990 SA)"
20152560,"152560 (1991 BN)"
20152561,"152561 (1991 RB)"
20152563,"152563 (1992 BF)"
20152564,"152564 (1992 HF)"
20152575,"152575 (1994 GY)"
20152637,"152637 (1997 NC1)"
20152664,"152664 (1998 FW4)"
20152667,"152667 (1998 FR11)"
20152671,"152671 (1998 HL3)"
20152679,"152679 (1998 KU2)"
20152680,"152680 (1998 KJ9)"
20152685,"152685 (1998 MZ)"
20152742,"152742 (1998 XE12)"
20152754,"152754 (1999 GS6)"
20152756,"152756 (1999 JV3)"
20152770,"152770 (1999 RR28)"
20152787,"152787 (1999 TB10)"
20152828,"152828 (1999 VT25)"
20152889,"152889 (2000 CF59)"
20152895,"152895 (2000 CQ101)"
20152931,"152931 (2000 EA107)"
20152941,"152941 (2000 FM10)"
20152942,"152942 (2000 FN10)"
20152952,"152952 (2000 GC2)"
20152964,"152964 (2000 GP82)"
20152978,"152978 (2000 GJ147)"
20153002,"153002 (2000 JG5)"
20153195,"153195 (2000 WB1)"
20153201,"153201 (2000 WO107)"
20153219,"153219 (2000 YM29)"
20153220,"153220 (2000 YN29)"
20153243,"153243 (2001 AU47)"
20153249,"153249 (2001 BW15)"
20153267,"153267 (2001 CB32)"
20153271,"153271 (2001 CL42)"
20153306,"153306 (2001 JL1)"
20153311,"153311 (2001 MG1)"
20153315,"153315 (2001 NH6)"
20153349,"153349 (2001 PJ9)"
20153415,"153415 (2001 QP153)"
20153460,"153460 (2001 RN)"
20153591,"153591 (2001 SN263)"
20153792,"153792 (2001 VH75)"
20153814,"153814 (2001 WN5)"
20153842,"153842 (2001 XT30)"
20153951,"153951 (2002 AC3)"
20153953,"153953 (2002 AD9)"
20153957,"153957 (2002 AB29)"
20153958,"153958 (2002 AM31)"
20154007,"154007 (2002 BY)"
20154019,"154019 (2002 CZ9)"
20154020,"154020 (2002 CA10)"
20154029,"154029 (2002 CY46)"
20154035,"154035 (2002 CV59)"
20154144,"154144 (2002 FA5)"
20154229,"154229 (2002 JN97)"
20154244,"154244 (2002 KL6)"
20154268,"154268 (2002 RM129)"
20154269,"154269 (2002 SM)"
20154275,"154275 (2002 SR41)"
20154276,"154276 (2002 SY50)"
20154278,"154278 (2002 TB9)"
20154300,"154300 (2002 UO)"
20154302,"154302 (2002 UQ3)"
20154330,"154330 (2002 VX94)"
20154347,"154347 (2002 XK4)"
20154453,"154453 (2003 CJ11)"
20154555,"154555 (2003 HA)"
20154589,"154589 (2003 MX2)"
20154590,"154590 (2003 MA3)"
20154631,"154631 (2003 WO25)"
20154652,"154652 (2004 EP20)"
20154656,"154656 (2004 FE3)"
20154658,"154658 (2004 FA18)"
20154715,"154715 (2004 LB6)"
20154807,"154807 (2004 PP97)"
20154988,"154988 (2004 XN35)"
20154991,"154991 Vinciguerra (2005 BX26)"
20154993,"154993 (2005 EA94)"
20155110,"155110 (2005 TB)"
20155140,"155140 (2005 UD)"
20155334,"155334 (2006 DZ169)"
20155336,"155336 (2006 GA1)"
20155338,"155338 (2006 MZ1)"
20155340,"155340 (2006 SK198)"
20155341,"155341 (2006 SA218)"
20159399,"159399 (1998 UL1)"
20159402,"159402 (1999 AP10)"
20159454,"159454 (2000 DJ8)"
20159459,"159459 (2000 KB)"
20159467,"159467 (2000 QK25)"
20159495,"159495 (2000 UV16)"
20159504,"159504 (2000 WO67)"
20159518,"159518 (2001 FF7)"
20159533,"159533 (2001 HH31)"
20159555,"159555 (2001 SJ276)"
20159560,"159560 (2001 TO103)"
20159608,"159608 (2002 AC2)"
20159609,"159609 (2002 AQ3)"
20159635,"159635 (2002 CZ46)"
20159677,"159677 (2002 HQ11)"
20159686,"159686 (2002 LB6)"
20159699,"159699 (2002 PQ142)"
20159856,"159856 (2004 JW6)"
20159857,"159857 (2004 LJ1)"
20159923,"159923 (2004 YJ32)"
20159928,"159928 (2005 CV69)"
20159929,"159929 (2005 UK)"
20161989,"161989 Cacus (1978 CA)"
20161995,"161995 (1983 LB)"
20161998,"161998 (1988 PA)"
20161999,"161999 (1989 RC)"
20162000,"162000 (1990 OS)"
20162004,"162004 (1991 VE)"
20162011,"162011 Konnohmaru (1994 AB1)"
